sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_40_2010_148w,DO-40-2010,40,7,148,148,34,3303,G22W1,>=31 months,34+months
DO_40_2010_038w,DO-40-2010,40,3,38,35,8,3303,G22W1,6-12 months,8/10/16 months
DO_40_2010_121w,DO-40-2010,40,6,121,121,28,3303,G22W1,25-30 months,22/28 months
DO_40_2010_097w,DO-40-2010,40,6,97,96,22,3303,G22W1,19-24 months,22/28 months
DO_20_1150_096w,DO-20-1150,20,102,96,96,22,6303,G27W2,19-24 months,22/28 months
DO_20_1150_021w,DO-20-1150,20,96,21,21,5,6303,G27W2,<=5 months,5 months
DO_2D_4133_121w,DO-2D-4133,2D,95,121,121,28,6190,G27W1,25-30 months,22/28 months
DO_2D_4133_044w,DO-2D-4133,2D,88,44,44,10,6190,G27W1,6-12 months,8/10/16 months
DO_2D_4133_096w,DO-2D-4133,2D,93,96,96,22,6190,G27W1,19-24 months,22/28 months
DO_2D_4133_069w,DO-2D-4133,2D,91,69,69,16,6190,G27W1,13-18 months,8/10/16 months
DO_20_1079_068w,DO-20-1079,20,51,68,69,16,4973,G24W1,13-18 months,8/10/16 months
DO_20_1079_120w,DO-20-1079,20,55,120,121,28,4973,G24W1,25-30 months,22/28 months
DO_20_1079_021w,DO-20-1079,20,46,21,21,5,4973,G24W1,<=5 months,5 months
DO_20_1079_096w,DO-20-1079,20,53,96,96,22,4973,G24W1,19-24 months,22/28 months
DO_40_2134_021w,DO-40-2134,40,84,21,21,5,6186,G27W1,<=5 months,5 months
DO_40_2134_044w,DO-40-2134,40,87,44,44,10,6186,G27W1,6-12 months,8/10/16 months
DO_40_2134_069w,DO-40-2134,40,90,69,69,16,6186,G27W1,13-18 months,8/10/16 months
DO_AL_0138_069w,DO-AL-0138,AL,89,69,69,16,6183,G27W1,13-18 months,8/10/16 months
DO_AL_0138_021w,DO-AL-0138,AL,83,21,21,5,6183,G27W1,<=5 months,5 months
DO_1D_3172_069w,DO-1D-3172,1D,114,69,69,16,6476,G28W1,13-18 months,8/10/16 months
DO_1D_3172_021w,DO-1D-3172,1D,109,21,21,5,6476,G28W1,<=5 months,5 months
DO_1D_3138_021w,DO-1D-3138,1D,85,21,21,5,6189,G27W1,<=5 months,5 months
DO_1D_3138_069w,DO-1D-3138,1D,91,69,69,16,6189,G27W1,13-18 months,8/10/16 months
DO_1D_3138_096w,DO-1D-3138,1D,93,96,96,22,6189,G27W1,19-24 months,22/28 months
DO_40_2102_148w,DO-40-2102,40,74,148,148,34,5840,G26W1,>=31 months,34+months
DO_40_2102_044w,DO-40-2102,40,70,44,44,10,5840,G26W1,6-12 months,8/10/16 months
DO_40_2102_020w,DO-40-2102,40,69,20,21,5,5840,G26W1,<=5 months,5 months
DO_40_2102_096w,DO-40-2102,40,74,96,96,22,5840,G26W1,19-24 months,22/28 months
DO_20_1001_069w,DO-20-1001,20,4,69,69,16,3299,G22W1,13-18 months,8/10/16 months
DO_20_1001_121w,DO-20-1001,20,6,121,121,28,3299,G22W1,25-30 months,22/28 months
DO_20_1001_174w,DO-20-1001,20,7,174,174,40,3299,G22W1,>=31 months,34+months
DO_20_1001_148w,DO-20-1001,20,7,148,148,34,3299,G22W1,>=31 months,34+months
DO_20_1001_097w,DO-20-1001,20,6,97,96,22,3299,G22W1,19-24 months,22/28 months
DO_20_1184_021w,DO-20-1184,20,118,21,21,5,6533,G28W2,<=5 months,5 months
DO_20_1184_044w,DO-20-1184,20,121,44,44,10,6533,G28W2,6-12 months,8/10/16 months
DO_1D_3169_069w,DO-1D-3169,1D,114,69,69,16,6476,G28W1,13-18 months,8/10/16 months
DO_1D_3169_148w,DO-1D-3169,1D,117,148,148,34,6476,G28W1,>=31 months,34+months
DO_1D_3169_097w,DO-1D-3169,1D,115,97,96,22,6476,G28W1,19-24 months,22/28 months
DO_AL_0005_121w,DO-AL-0005,AL,6,121,121,28,3297,G22W1,25-30 months,22/28 months
DO_AL_0005_044w,DO-AL-0005,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0005_097w,DO-AL-0005,AL,6,97,96,22,3297,G22W1,19-24 months,22/28 months
DO_AL_0005_069w,DO-AL-0005,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_AL_0005_038w,DO-AL-0005,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_1D_3143_121w,DO-1D-3143,1D,95,121,121,28,6189,G27W1,25-30 months,22/28 months
DO_1D_3143_096w,DO-1D-3143,1D,93,96,96,22,6189,G27W1,19-24 months,22/28 months
DO_1D_3143_044w,DO-1D-3143,1D,88,44,44,10,6189,G27W1,6-12 months,8/10/16 months
DO_1D_3185_096w,DO-1D-3185,1D,126,96,96,22,6538,G28W2,19-24 months,22/28 months
DO_1D_3185_044w,DO-1D-3185,1D,121,44,44,10,6538,G28W2,6-12 months,8/10/16 months
DO_1D_3185_122w,DO-1D-3185,1D,127,122,121,28,6538,G28W2,25-30 months,22/28 months
DO_1D_3185_069w,DO-1D-3185,1D,124,69,69,16,6538,G28W2,13-18 months,8/10/16 months
DO_1D_3185_021w,DO-1D-3185,1D,120,21,21,5,6538,G28W2,<=5 months,5 months
DO_2D_4162_069w,DO-2D-4162,2D,114,69,69,16,6477,G28W1,13-18 months,8/10/16 months
DO_2D_4162_021w,DO-2D-4162,2D,110,21,21,5,6477,G28W1,<=5 months,5 months
DO_2D_4162_097w,DO-2D-4162,2D,115,97,96,22,6477,G28W1,19-24 months,22/28 months
DO_2D_4079_068w,DO-2D-4079,2D,52,68,69,16,4979,G24W1,13-18 months,8/10/16 months
DO_2D_4079_095w,DO-2D-4079,2D,54,95,96,22,4979,G24W1,19-24 months,22/28 months
DO_2D_4079_120w,DO-2D-4079,2D,56,120,121,28,4979,G24W1,25-30 months,22/28 months
DO_2D_4079_148w,DO-2D-4079,2D,56,148,148,34,4979,G24W1,>=31 months,34+months
DO_AL_0059_044w,DO-AL-0059,AL,36,44,44,10,4333,G23W2,6-12 months,8/10/16 months
DO_AL_0059_020w,DO-AL-0059,AL,32,20,21,5,4333,G23W2,<=5 months,5 months
DO_20_1104_044w,DO-20-1104,20,70,44,44,10,5836,G26W1,6-12 months,8/10/16 months
DO_20_1104_020w,DO-20-1104,20,68,20,21,5,5836,G26W1,<=5 months,5 months
DO_20_1104_069w,DO-20-1104,20,72,69,69,16,5836,G26W1,13-18 months,8/10/16 months
DO_20_1041_096w,DO-20-1041,20,27,96,96,22,4107,G23W1,19-24 months,22/28 months
DO_20_1041_044w,DO-20-1041,20,22,44,44,10,4107,G23W1,6-12 months,8/10/16 months
DO_20_1041_069w,DO-20-1041,20,25,69,69,16,4107,G23W1,13-18 months,8/10/16 months
DO_20_1041_121w,DO-20-1041,20,29,121,121,28,4107,G23W1,25-30 months,22/28 months
DO_2D_4155_021w,DO-2D-4155,2D,97,21,21,5,6300,G27W2,<=5 months,5 months
DO_2D_4155_069w,DO-2D-4155,2D,101,69,69,16,6300,G27W2,13-18 months,8/10/16 months
DO_40_2066_148w,DO-40-2066,40,56,148,148,34,4974,G24W1,>=31 months,34+months
DO_40_2066_068w,DO-40-2066,40,51,68,69,16,4974,G24W1,13-18 months,8/10/16 months
DO_40_2066_120w,DO-40-2066,40,55,120,121,28,4974,G24W1,25-30 months,22/28 months
DO_1D_3184_021w,DO-1D-3184,1D,120,21,21,5,6537,G28W2,<=5 months,5 months
DO_1D_3184_044w,DO-1D-3184,1D,121,44,44,10,6537,G28W2,6-12 months,8/10/16 months
DO_1D_3137_069w,DO-1D-3137,1D,91,69,69,16,6189,G27W1,13-18 months,8/10/16 months
DO_1D_3137_121w,DO-1D-3137,1D,95,121,121,28,6189,G27W1,25-30 months,22/28 months
DO_1D_3137_021w,DO-1D-3137,1D,85,21,21,5,6189,G27W1,<=5 months,5 months
DO_2D_4019_174w,DO-2D-4019,2D,16,174,174,40,3397,G22W2,>=31 months,34+months
DO_2D_4019_043w,DO-2D-4019,2D,11,43,44,10,3397,G22W2,6-12 months,8/10/16 months
DO_2D_4019_148w,DO-2D-4019,2D,16,148,148,34,3397,G22W2,>=31 months,34+months
DO_2D_4019_097w,DO-2D-4019,2D,14,97,96,22,3397,G22W2,19-24 months,22/28 months
DO_2D_4019_121w,DO-2D-4019,2D,15,121,121,28,3397,G22W2,25-30 months,22/28 months
DO_2D_4019_069w,DO-2D-4019,2D,13,69,69,16,3397,G22W2,13-18 months,8/10/16 months
DO_2D_4157_069w,DO-2D-4157,2D,101,69,69,16,6300,G27W2,13-18 months,8/10/16 months
DO_2D_4157_044w,DO-2D-4157,2D,100,44,44,10,6300,G27W2,6-12 months,8/10/16 months
DO_2D_4157_121w,DO-2D-4157,2D,106,121,121,28,6300,G27W2,25-30 months,22/28 months
DO_1D_3115_069w,DO-1D-3115,1D,78,69,69,16,5884,G26W2,13-18 months,8/10/16 months
DO_AL_0110_044w,DO-AL-0110,AL,70,44,44,10,5837,G26W1,6-12 months,8/10/16 months
DO_AL_0110_020w,DO-AL-0110,AL,68,20,21,5,5837,G26W1,<=5 months,5 months
DO_AL_0083_096w,DO-AL-0083,AL,64,96,96,22,5076,G24W2,19-24 months,22/28 months
DO_AL_0083_022w,DO-AL-0083,AL,56,22,21,5,5076,G24W2,<=5 months,5 months
DO_AL_0083_069w,DO-AL-0083,AL,62,69,69,16,5076,G24W2,13-18 months,8/10/16 months
DO_1D_3116_044w,DO-1D-3116,1D,77,44,44,10,5884,G26W2,6-12 months,8/10/16 months
DO_1D_3116_096w,DO-1D-3116,1D,79,96,96,22,5884,G26W2,19-24 months,22/28 months
DO_1D_3116_069w,DO-1D-3116,1D,78,69,69,16,5884,G26W2,13-18 months,8/10/16 months
DO_1D_3116_120w,DO-1D-3116,1D,80,120,121,28,5884,G26W2,25-30 months,22/28 months
DO_1D_3116_148w,DO-1D-3116,1D,82,148,148,34,5884,G26W2,>=31 months,34+months
DO_2D_4110_044w,DO-2D-4110,2D,72,44,44,10,5845,G26W1,6-12 months,8/10/16 months
DO_1D_3044_044w,DO-1D-3044,1D,24,44,44,10,4113,G23W1,6-12 months,8/10/16 months
DO_1D_3044_023w,DO-1D-3044,1D,19,23,21,5,4113,G23W1,<=5 months,5 months
DO_1D_3044_096w,DO-1D-3044,1D,28,96,96,22,4113,G23W1,19-24 months,22/28 months
DO_1D_3044_069w,DO-1D-3044,1D,26,69,69,16,4113,G23W1,13-18 months,8/10/16 months
DO_1D_3044_148w,DO-1D-3044,1D,31,148,148,34,4113,G23W1,>=31 months,34+months
DO_1D_3044_121w,DO-1D-3044,1D,30,121,121,28,4113,G23W1,25-30 months,22/28 months
DO_2D_4076_021w,DO-2D-4076,2D,48,21,21,5,4979,G24W1,<=5 months,5 months
DO_2D_4175_021w,DO-2D-4175,2D,110,21,21,5,6478,G28W1,<=5 months,5 months
DO_2D_4015_038w,DO-2D-4015,2D,4,38,35,8,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4015_044w,DO-2D-4015,2D,2,44,44,10,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4015_121w,DO-2D-4015,2D,6,121,121,28,3313,G22W1,25-30 months,22/28 months
DO_2D_4015_097w,DO-2D-4015,2D,6,97,96,22,3313,G22W1,19-24 months,22/28 months
DO_2D_4015_069w,DO-2D-4015,2D,5,69,69,16,3313,G22W1,13-18 months,8/10/16 months
DO_AL_0080_068w,DO-AL-0080,AL,50,68,69,16,4969,G24W1,13-18 months,8/10/16 months
DO_AL_0080_095w,DO-AL-0080,AL,52,95,96,22,4969,G24W1,19-24 months,22/28 months
DO_AL_0080_021w,DO-AL-0080,AL,46,21,21,5,4969,G24W1,<=5 months,5 months
DO_20_1049_069w,DO-20-1049,20,38,69,69,16,4335,G23W2,13-18 months,8/10/16 months
DO_20_1049_020w,DO-20-1049,20,33,20,21,5,4335,G23W2,<=5 months,5 months
DO_1D_3147_021w,DO-1D-3147,1D,97,21,21,5,6307,G27W2,<=5 months,5 months
DO_1D_3126_021w,DO-1D-3126,1D,76,21,21,5,5885,G26W2,<=5 months,5 months
DO_2D_4168_121w,DO-2D-4168,2D,116,121,121,28,6477,G28W1,25-30 months,22/28 months
DO_2D_4168_021w,DO-2D-4168,2D,110,21,21,5,6477,G28W1,<=5 months,5 months
DO_2D_4168_097w,DO-2D-4168,2D,115,97,96,22,6477,G28W1,19-24 months,22/28 months
DO_2D_4168_069w,DO-2D-4168,2D,114,69,69,16,6477,G28W1,13-18 months,8/10/16 months
DO_40_2030_035w,DO-40-2030,40,9,35,35,8,3394,G22W2,6-12 months,8/10/16 months
DO_40_2030_121w,DO-40-2030,40,15,121,121,28,3394,G22W2,25-30 months,22/28 months
DO_40_2030_043w,DO-40-2030,40,11,43,44,10,3394,G22W2,6-12 months,8/10/16 months
DO_40_2030_097w,DO-40-2030,40,14,97,96,22,3394,G22W2,19-24 months,22/28 months
DO_40_2020_069w,DO-40-2020,40,12,69,69,16,3393,G22W2,13-18 months,8/10/16 months
DO_40_2020_043w,DO-40-2020,40,11,43,44,10,3393,G22W2,6-12 months,8/10/16 months
DO_40_2077_021w,DO-40-2077,40,47,21,21,5,4975,G24W1,<=5 months,5 months
DO_40_2077_148w,DO-40-2077,40,56,148,148,34,4975,G24W1,>=31 months,34+months
DO_AL_0095_069w,DO-AL-0095,AL,62,69,69,16,5077,G24W2,13-18 months,8/10/16 months
